会社コード,会社名,取引日,始値,高値,低値,終値,取引高
1301,(株)極洋,2023/11/17,3730,3755,3715,3755,11600
1332,(株)ニッスイ,2023/11/17,699.1,706.3,698.1,705.5,1012900
1333,マルハニチロ(株),2023/11/17,2736,2775,2736,2773,162600
1375,(株)雪国まいたけ,2023/11/17,932,940,931,940,56800
1377,(株)サカタのタネ,2023/11/17,4055,4065,4030,4065,49300
1379,ホクト(株),2023/11/17,1735,1743,1729,1736,79600
1413,(株)ヒノキヤグループ,2023/11/17,---,---,---,---,---
1414,ショーボンドホールディングス(株),2023/11/17,6047,6100,6008,6098,60700
1417,(株)ミライト・ワン,2023/11/17,1832,1870.5,1832,1867,291800
1419,タマホーム(株),2023/11/17,3595,3660,3595,3655,342200
1429,(株)日本アクア,2023/11/17,900,922,900,913,103100
1430,ファーストコーポレーション(株),2023/11/17,747,757,747,757,26800
1433,ベステラ(株),2023/11/17,1026,1058,1026,1046,41700
1435,(株)Ｒｏｂｏｔ　Ｈｏｍｅ,2023/11/17,184,184,182,184,122700
1515,日鉄鉱業(株),2023/11/17,5250,5370,5240,5310,62100
1518,三井松島ホールディングス(株),2023/11/17,2636,2720,2620,2720,192800
1605,(株)ＩＮＰＥＸ,2023/11/17,2024.5,2083,2022,2082.5,10233800
1662,石油資源開発(株),2023/11/17,5280,5530,5280,5510,364200
1663,Ｋ＆Ｏエナジーグループ(株),2023/11/17,2148,2195,2148,2195,97400
1712,(株)ダイセキ環境ソリューション,2023/11/17,954,966,951,963,72800
1716,第一カッター興業(株),2023/11/17,1285,1291,1272,1291,16400
1719,安藤ハザマ,2023/11/17,1078,1098,1078,1098,518700
1720,東急建設(株),2023/11/17,783,803,783,803,418100
1721,コムシスホールディングス(株),2023/11/17,3200,3220,3153,3202,361200
1726,(株)ビーアールホールディングス,2023/11/17,346,352,346,352,188900
1762,(株)高松コンストラクショングループ,2023/11/17,2730,2740,2693,2733,42400
1766,東建コーポレーション(株),2023/11/17,8020,8150,8020,8140,30400
1780,(株)ヤマウラ,2023/11/17,1345,1398,1343,1398,51800
1786,オリエンタル白石(株),2023/11/17,320,325,320,325,333900
1801,大成建設(株),2023/11/17,5370,5488,5360,5487,765900
1802,(株)大林組,2023/11/17,1305,1319,1298.5,1316,2478600
1803,清水建設(株),2023/11/17,965,992.8,964.1,992.8,3291100
1805,飛島建設(株),2023/11/17,1293,1320,1290,1320,101500
1808,(株)長谷工コーポレーション,2023/11/17,1830.5,1846,1815,1845.5,675600
1810,松井建設(株),2023/11/17,763,778,763,778,13700
1812,鹿島,2023/11/17,2295,2356,2291,2354.5,2545100
1813,(株)不動テトラ,2023/11/17,2051,2097,2051,2097,57900
1814,大末建設(株),2023/11/17,1298,1312,1298,1307,38200
1815,鉄建建設(株),2023/11/17,1976,2000,1976,1998,16800
1820,西松建設(株),2023/11/17,3680,3733,3678,3733,166400
1821,三井住友建設(株),2023/11/17,397,403,396,403,441800
1822,大豊建設(株),2023/11/17,3560,3655,3555,3650,63700
1833,(株)奥村組,2023/11/17,4485,4560,4480,4560,131900
1835,東鉄工業(株),2023/11/17,2886,2940,2886,2937,49700
1847,(株)イチケン,2023/11/17,2273,2301,2270,2293,8800
1852,(株)淺沼組,2023/11/17,3665,3715,3660,3705,96600
1860,戸田建設(株),2023/11/17,923,928.4,915,918.5,1016700
