domain,application,version,users,MAU,HYAU,posts
relay-new.activitypub.ca,activityrelay,0.0.1,1,null,null,0
relay.intahnet.co.uk,activity-relay,2.0.5,997,997,997,null
relay.toot.io,activity-relay,2.0.5,854,854,854,null
relay.toot.yukimochi.jp,activity-relay,2.0.5,418,418,418,null
relay.nya.one,activity-relay,2.0.5,227,227,227,null
relay.wig.gl,activity-relay,v2.0.4,182,182,182,null
relay.acg.mn,activity-relay,2.0.5,164,164,164,null
relay.dragon-fly.club,activity-relay,2.0.5,107,107,107,null
relay.pourparlers.social,activity-relay,2.0.2,104,104,104,null
activityrelay.beep.computer,activity-relay,2.0.2,99,99,99,null
relay.otaku-social.com,activity-relay,2.0.4,69,69,69,null
relay.mstdn.one,activity-relay,2.0.0,67,67,67,null
rele.suomi.social,activity-relay,v1.2.4,38,38,38,null
relay.virtualkemomimi.net,activity-relay,2.0.4,38,38,38,null
relay.ie9.org,activity-relay,2.0.3,35,35,35,null
r.chomechome.jp,activity-relay,2.0.4,34,34,34,null
relay.isle.moe,activity-relay,2.0.5,34,34,34,null
relay.sueden.social,activity-relay,2.0.5,18,18,18,null
relay.ratingen.social,activity-relay,v1.1.2,15,15,15,null
relay.simpreative.network,activity-relay,2.0.3,15,15,15,null
relay.social.seattle.wa.us,activity-relay,v1.2.4,11,11,11,null
relay.tkngh.jp,activity-relay,2.0.0,11,11,11,null
relay.expressional.social,activity-relay,2.0.3-14-g6df6d64,9,9,9,null
relay.flashfire.site,activity-relay,2.0.4,8,8,8,null
relay.gearheads.social,activity-relay,v1.0.0,8,8,8,null
pub-relay.moe.gift,activity-relay,2.0.5,6,6,6,null
relay.jiong.us,activity-relay,2.0.4,6,6,6,null
relay.unstable.systems,activity-relay,2.0.2,5,5,5,null
r0.soda.jp.eu.org,activity-relay,2.0.4,5,5,5,null
relay.lile.cl,activity-relay,2.0.0-2-gc4522d5,4,4,4,null
relay.pepabo.com,activity-relay,,3,3,3,null
activityrelay.krbonne.net,activity-relay,2.0.2,3,3,3,null
relay.mastodon.keks.club,activity-relay,2.0.2,3,3,3,null
relay.khiar.net,activity-relay,2.0.5,3,3,3,null
actpub-relay.chatagiriii.com,activity-relay,2.0.2,2,2,2,null
relay.mtg.li,activity-relay,v1.2.5,2,2,2,null
activitypub-relay.uec-tech.net,activity-relay,2.0.4,2,2,2,null
r4100.neodb.prvcy.page,activity-relay,2.0.3,2,2,2,null
relay.fediverse.jp,activity-relay,2.0.5,1,1,1,null
relay.guild.pmdcollab.org,activity-relay,v1.2.4,1,1,1,null
relay.91hl.tv,activity-relay,2.0.4,1,1,1,null
relay.udon.icu,activity-relay,2.0.3,0,0,0,null
blob.cat,akkoma,3.10.4-0-gf5134be53-blob,1854,135,269,602217
fe.disroot.org,akkoma,3.11.0-0-ga03f3a9,1714,293,812,32083
pleroma.noellabo.jp,akkoma,3.10.4-607-g88021a96-noeroma,1578,33,83,23885
fedi.absturztau.be,akkoma,3.12.0-339-g2d439034-develop,1365,98,198,866693
cdrom.tokyo,akkoma,3.9.3-28-g9d7c877d,1102,146,417,122529
genserver.social,akkoma,3.12.0-0-gd71d523,993,115,280,6388
outerheaven.club,akkoma,3.12.0-0-gd71d523,804,98,163,478076
miraiverse.xyz,akkoma,3.12.0-0-gd71d523,737,117,270,49492
akkoma.mercurywork.shop,akkoma,3.10.4-0-gebfb617,408,17,123,2764
pl.nudie.social,akkoma,3.10.3-194-g43c5fd5d,335,37,80,1551
nixnet.social,akkoma,3.12.0-0-gd71d523,325,33,105,28411
detroitriotcity.com,akkoma,3.12.2-0-g26a91d5,258,85,128,85550
pleroma.envs.net,akkoma,3.12.2-0-g26a91d5,244,57,94,25596
oddballs.online,akkoma,3.10.4-0-gebfb617,224,134,192,18987
seafoam.space,akkoma,3.12.2-0-g26a91d5,206,42,83,42825
freespeech.group,akkoma,3.11.0-0-ga03f3a9,202,5,7,36222
mycrowd.ca,akkoma,3.12.2,133,39,67,5013
headpat.cafe,akkoma,3.10.4-0-g0af8e93,130,20,45,920
ak.vern.cc,akkoma,3.9.3,114,8,18,7298
froth.zone,akkoma,3.10.2-2212-g0d59cb6c-froth-akkoma,113,7,12,114230
akko.wtf,akkoma,3.12.2-358-g9486abca-akko-wtf,113,58,82,148581
bdx.town,akkoma,3.12.0-0-ga57c57f,101,40,84,22704
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,99,9,17,62271
labyrinth.zone,akkoma,3.12.2,94,77,91,56404
decept.org,akkoma,3.12.2-0-g26a91d5,92,21,29,13634
donotsta.re,akkoma,3.10.4-0-gebfb617,83,29,45,14916
triangle.social,akkoma,3.8.0,82,2,2,12848
bunbers.org,akkoma,3.9.3-28-g9d7c877d-akkoma,72,7,20,664
social.kernel.org,akkoma,3.12.2,72,40,55,13149
ihatebeinga.live,akkoma,3.12.2-406-gd2cee15c-failed-fetch-processing,69,13,19,290365
moth.zone,akkoma,3.12.0-0-gd71d523,69,35,47,46920
kowelenz.social,akkoma,3.12.0-0-gd71d523,67,8,11,9217
brain.worm.pink,akkoma,3.10.4-3-g8660dcae,66,31,45,25327
shota.house,akkoma,3.12.0,64,28,37,166237
cooltrans.men,akkoma,3.12.0,61,45,61,7319
norwoodzero.net,akkoma,3.10.2-0-gba1ed37,60,41,50,31752
crimew.gay,akkoma,3.10.3-200-g5c164028-develop,57,29,47,79921
social.translunar.academy,akkoma,3.9.3-0-g9d7c877,53,47,55,124646
akko.unix.dog,akkoma,3.12.0,49,16,29,12147
awoo.fai.st,akkoma,3.10.4-0-gebfb617,48,15,20,17423
void.lgbt,akkoma,3.12.0-0-gd71d523,44,36,45,24536
pl.m0e.space,akkoma,3.12.0-339-g2d439034-develop,43,13,18,5368
foxy.social,akkoma,3.9.3-0-g30b9e626f-main,43,6,17,239
ak.kawen.space,akkoma,3.10.3-0-g98f0820-develop,41,22,24,59632
woem.space,akkoma,3.12.0-0-g11c305b,39,29,37,95462
gosuslugi.social,akkoma,3.8.0,36,5,8,207
suya.place,akkoma,3.12.0-190-g0c2260e1-suyaplace,36,22,31,30494
uchu-teien.com,akkoma,3.12.0-339-g2d439034-develop,34,16,27,9519
akkomane.social,akkoma,3.11.0-0-ga03f3a9,34,26,26,130
nya.house,akkoma,3.10.4-2-g47aab34e-nya,33,2,5,853
iscute.moe,akkoma,3.10.4,31,6,10,140872
breastmilk.club,akkoma,3.7.1-205-g82c1b7d4-akroma,28,16,21,90385
pr.shc.kanagawa.jp,akkoma,3.12.2-10-g37fa0a93-heads-v3-12-2,26,2,5,2439
aa.nikola.love,akkoma,3.10.4-1-gebfb617b,25,5,16,2235
chai.kibbutz.gay,akkoma,3.12.2-0-g26a91d5,24,19,34,7596
