domain,apli,version,users,am,ahy,posts ,
prattohome.com,mastodon,4.2.0,1 ,1 ,1 ,2550 ,
mage.town,hometown,4.0.10+hometown-1.1.1,24 ,8 ,14 ,5374 ,
meh.social,mastodon,4.1.5,26 ,10 ,15 ,3271 ,
misskey.zerozaski.tech,misskey,12.110.1,4 ,2 ,3 ,32946 ,
miau.jeder.pl,iceshrimp,2023.10.04,6 ,4 ,4 ,23199 ,
dz.social,mastodon,4.2.0,10 ,4 ,10 ,813 ,
0ddfactory.com,mastodon,4.2.0,12 ,12 ,12 ,1259 ,
vocalounge.cafe,mastodon,4.2.0,1252 ,53 ,129 ,50647 ,
bsd.network,mastodon,3.5.14+iceage,1088 ,404 ,542 ,363738 ,
m5y.usuyuki.net,misskey,2023.9.1-usuyukey-1.1.0,1 ,null,null,4533 ,
misskey.seitendan.com,misskey,2023.9.3,8 ,null,null,6005 ,
musicworld.social,mastodon,4.2.0,309 ,98 ,334 ,11743 ,
misskey.yufarch.com,misskey,2023.9.1,3 ,null,null,105 ,
minohdon.jp,mastodon,4.2.0+glitch,224 ,26 ,62 ,92862 ,
pollyanna.social,mastodon,4.2.0,3 ,2 ,3 ,4318 ,
yggdrasil.social,pleroma,2.5.0,169 ,8 ,15 ,39197 ,
mastodon.fedisonic.cloud,mastodon,4.2.0,3 ,1 ,1 ,444 ,
dicekey.jp,misskey,13.13.2,317 ,null,null,7516 ,
cloudflare.social,wildebeest,0.0.1,null,null,null,null,
sns.ayokura.net,wildebeest,0.0.1,null,null,null,null,
wildebeest.mirror-kt.dev,wildebeest,0.0.1,null,null,null,null,
sauleau.social,wildebeest,0.0.1,null,null,null,null,
social.eng.chat,wildebeest,0.0.1,null,null,null,null,
linux.pt,wildebeest,0.0.1,null,null,null,null,
microsocial.club,wildebeest,0.0.1,null,null,null,null,
hathaway.social,wildebeest,0.0.1,null,null,null,null,
social.cottongin.xyz,wildebeest,0.0.1,null,null,null,null,
wild.eversole.dev,wildebeest,0.0.1,null,null,null,null,
social.tnem.dev,wildebeest,0.0.1,null,null,null,null,
tmint.social,wildebeest,0.0.1,null,null,null,null,
meedan.social,wildebeest,0.0.1,null,null,null,null,
social.syum.ai,wildebeest,0.0.1,null,null,null,null,
tweets.makerbox.net,wildebeest,0.0.1,null,null,null,null,
wildfire.social,wildebeest,0.0.1,null,null,null,null,
nro.io,wildebeest,0.0.1,null,null,null,null,
wb.yug1224.com,wildebeest,0.0.1,null,null,null,null,
social.chroju.dev,wildebeest,0.0.1,null,null,null,null,
den.shuymn.me,wildebeest,0.1.0,null,null,null,null,
mastoworx.social,wildebeest,0.0.1,null,null,null,null,
social.domjh.com,wildebeest,0.0.1,null,null,null,null,
social.jasnell.me,wildebeest,0.0.1,null,null,null,null,
panacea.no,wildebeest,0.0.1,null,null,null,null,
social.primehq.co,wildebeest,0.0.1,null,null,null,null,
superchonkycat.social,wildebeest,0.0.1,null,null,null,null,
entire.social,wildebeest,0.0.1,null,null,null,null,
wildebeest.gmad.dev,wildebeest,0.0.1,null,null,null,null,
m.kaij.tech,wildebeest,0.0.1,null,null,null,null,
saurier.social,wildebeest,0.0.1,null,null,null,null,
wildebeest.tooot.app,wildebeest,0.0.1,null,null,null,null,
hermits.social,wildebeest,0.0.1,null,null,null,null,
spore.social,mastodon,4.2.0,1766 ,422 ,517 ,160504 ,
fed.chris-shaw.dev,mastodon,4.2.0,1 ,1 ,1 ,40 ,
killyour.dad,pleroma,2.5.54-594-gb094e92c.develop+soapbox,3 ,2 ,3 ,10 ,
stefanbohacek.online,mastodon,4.2.0,1 ,1 ,1 ,3923 ,
misskey.ranranhome.info,misskey,13.14.2,2599 ,null,null,174581 ,
novoa.nagoya,misskey,13.11.3,214 ,null,null,46375 ,
wake.0am.jp,foundkey,13.0.0-preview6,524 ,312 ,481 ,38328 ,
thecooltable.wtf,mastodon,4.2.0,41 ,7 ,17 ,5736 ,
zerschnurrt.de,firefish,1.0.3,5 ,4 ,4 ,559 ,
md.uzla.net,mastodon,4.1.9,4 ,4 ,4 ,178 ,
hyem.tech,mastodon,4.2.0,2 ,1 ,1 ,1338 ,
misskey.7ka.org,misskey,2023.9.3,213 ,null,null,64341 ,
mk.tenpest-moon.uk,misskey,12.119.2,3 ,1 ,2 ,13053 ,
queerspirituality.social,mastodon,4.2.0,7 ,6 ,7 ,2492 ,
misskey.furry-r-moonrabbitbower.com,misskey,13.14.2,17 ,null,null,8736 ,
mstdn.hyogo.jp,mastodon,4.1.7,345 ,18 ,46 ,42917 ,
misskey.ssskkk.top,misskey,13.14.2,19 ,null,null,175 ,
drdr.club,misskey,2023.9.1,844 ,null,null,106948 ,
mascodon.jp,mastodon,4.2.0+mscdn,32 ,24 ,41 ,8660 ,
munesky.net,misskey,13.14.2,13 ,null,null,2251 ,
reax.work,misskey,2023.9.3,18 ,null,null,2793 ,
canada.masto.host,mastodon,4.2.0,296 ,46 ,101 ,30746 ,
mastodon.free-solutions.org,mastodon,4.2.0,786 ,106 ,352 ,7832 ,
msky.work,misskey,2023.9.3,81 ,null,null,6680 ,
bostonsocial.online,firefish,1.0.4-dev5,53 ,11 ,50 ,2564 ,
pointless.chat,mastodon,4.2.0,804 ,143 ,240 ,47525 ,
iosdev.space,mastodon,4.2.0,957 ,430 ,691 ,46747 ,
nonbiridon.hostdon.ne.jp,mastodon,4.2.0,1 ,1 ,1 ,22031 ,
misskey.kanarikanaru.com,misskey,2023.9.2-bsk-1.3,79 ,null,null,780 ,
toot.iani.art,mastodon,4.2.0,3 ,2 ,2 ,6601 ,
posts.dumb.stuff.donaberger.xyz,mastodon,4.2.0,1 ,1 ,1 ,418 ,
cryptodon.chat,mastodon,4.1.3,44 ,11 ,29 ,13063 ,
mastodon.laurenweinstein.org,mastodon,4.1.3,1 ,1 ,1 ,12559 ,
firefish.social,firefish,1.1.0-dev3~4,4114 ,1321 ,3990 ,230065 ,
erisly.social,firefish,1.0.4-beta,165 ,14 ,48 ,3445 ,
kawane.misskey.online,misskey,13.14.2,12 ,null,null,1852 ,
elephantfossil.com,mastodon,4.0.2,2 ,1 ,2 ,1357 ,
mountains.social,mastodon,4.2.0,430 ,133 ,277 ,17030 ,
ludosphere.fr,mastodon,4.2.0,772 ,440 ,688 ,90331 ,
yamagadon.com,mastodon,4.2.0,3 ,1 ,1 ,914 ,
neurodifferent.me,mastodon,4.1.7,1043 ,326 ,615 ,182715 ,
fairdinkum.one,mastodon,4.2.0,8 ,5 ,9 ,1365 ,
eveningzoo.club,pleroma,2.4.53-7-g0d08f049.develop+soapbox,148 ,23 ,49 ,81620 ,
animal-crossing.mastportal.info,mastodon,4.2.0,260 ,31 ,51 ,120123 ,
allthingstech.social,mastodon,4.2.0,252 ,98 ,288 ,24904 ,
obufalus.jp,mastodon,4.2.0,121 ,89 ,119 ,26193 ,
social.nohto.net,misskey,13.14.2,4 ,null,null,237 ,
mstdn.love,mastodon,4.1.6,337 ,70 ,152 ,500207 ,
mofu.kemo.no,mastodon,4.2.0,183 ,32 ,55 ,13203 ,
mstdn.sagami-yashiro.net,mastodon,4.2.0,2 ,1 ,2 ,566 ,
wien.rocks,mastodon,4.2.0-stable+ff3,4264 ,1004 ,1985 ,182692 ,
mastodon.sandwich.net,mastodon,4.2.0,482 ,53 ,79 ,61521 ,
mstdn-bike.net,mastodon,4.2.0,644 ,155 ,277 ,774329 ,
discuss.systems,mastodon,4.2.0,2956 ,584 ,1195 ,92040 ,
geeknews.chat,mastodon,4.2.0,47 ,8 ,11 ,11934 ,
mi.7mi.site,misskey,2023.10.0-beta.2,59 ,null,null,5784 ,
wikis.world,mastodon,4.2.0,150 ,95 ,135 ,22819 ,
miss.kabeuchi.monster,misskey,2023.9.3,5 ,null,null,403 ,
oc.todon.fr,mastodon,3.5.14,2794 ,199 ,351 ,160417 ,
takoverse.syutin.com,mastodon,4.2.0,4 ,4 ,4 ,1798 ,
slime.global,hometown,4.0.6+hometown-1.1.1,81 ,29 ,39 ,574401 ,
simcha.lgbt,mastodon,4.2.0+glitch,33 ,41 ,53 ,27554 ,
a11y.info,mastodon,4.2.0,124 ,37 ,48 ,10157 ,
misskey.de,misskey,2023.9.3,419 ,null,null,23361 ,
friendsyu.me,misskey,10.103.0.3-ypf,452 ,18 ,68 ,34125 ,
firefish.katniss.top,firefish,1.0.4-beta,3 ,1 ,1 ,0 ,
social.kazehiko.com,mastodon,4.2.0,1 ,1 ,1 ,1451 ,
dimension.host,mastodon,4.2.0+dimension,5 ,4 ,4 ,14566 ,
paquita.masto.host,mastodon,4.2.0,1948 ,730 ,1177 ,311394 ,
this.mouse.rocks,mastodon,4.2.0,51 ,17 ,25 ,227831 ,
fediscience.org,mastodon,4.1.9,5235 ,1950 ,3136 ,365304 ,
mastodon.sdf.org,mastodon,4.1.9,72780 ,3633 ,3633 ,1597015 ,
techhub.social,mastodon,4.2.0,78686 ,10624 ,27126 ,1114152 ,
quakers.social,mastodon,4.1.4,118 ,28 ,62 ,3570 ,
agora.ilot.io,mastodon,4.1.8,6 ,4 ,7 ,207 ,
mustard.blog,mastodon,4.2.0,1800 ,362 ,982 ,77588 ,
borahae.love,mastodon,4.2.0+glitch,151 ,18 ,38 ,5003 ,
ursal.zone,mastodon,4.2.0,2796 ,582 ,1213 ,345897 ,
iconfactory.world,mastodon,4.1.4,4 ,2 ,3 ,517 ,
birds.town,mastodon,4.2.0,556 ,93 ,208 ,30766 ,
misskey.art,misskey,13.14.2-art+1.0,4680 ,null,null,1216916 ,
mastodon.acm.org,mastodon,4.2.0,867 ,271 ,480 ,14488 ,
her-mann.de,mastodon,4.1.2,1 ,1 ,1 ,114 ,
handon.club,mastodon,4.1.9,328 ,160 ,169 ,3751502 ,
mamut.social,mastodon,4.1.1,15 ,10 ,19 ,2285 ,
gearheads.social,mastodon,4.1.6-gh23240,770 ,244 ,649 ,13125 ,
paseo.casacamelia.xyz,misskey,2023.9.1,2 ,null,null,6380 ,
fedi.afra.berlin,iceshrimp,1.0.2,10 ,7 ,7 ,2000 ,
soc.nochn.net,mastodon,4.1.4,3 ,2 ,2 ,2564 ,
mastodon.nl,mastodon,4.1.8,40059 ,7311 ,17331 ,1374728 ,
river.group.lt,mastodon,4.2.0,80 ,42 ,62 ,10823 ,
a2mi.social,mastodon,4.1.9,411 ,155 ,235 ,174208 ,
barca.dix.asia,mastodon,4.2.0,33 ,27 ,34 ,60029 ,
