domain,application,version,users,AMU,AHYU,posts
rapemeat.express,akkoma,3.9.3-28-g9d7c877d,3255,1134,1658,7160
blob.cat,akkoma,3.9.3-0-gd83f5f66f-blob,1795,172,400,563817
pleroma.noellabo.jp,akkoma,3.10.4-607-g88021a96-noeroma,1566,50,409,23667
fedi.absturztau.be,akkoma,3.10.3-201-gc8e08e9c-develop,1361,132,286,839596
fe.disroot.org,akkoma,3.8.0-0-gb86b3a9-develop,1241,270,728,21090
genserver.social,akkoma,3.10.3-0-gc887dd4,968,183,416,5015
cdrom.tokyo,akkoma,3.9.3-28-g9d7c877d,809,105,304,117453
outerheaven.club,akkoma,3.10.3-0-g43c5fd5,775,110,240,427238
miraiverse.xyz,akkoma,3.10.4-0-gebfb617,730,237,641,40511
akkoma.mercurywork.shop,akkoma,3.10.4-0-gebfb617,316,28,133,1493
pl.nudie.social,akkoma,3.10.3-194-g43c5fd5d,304,43,186,5834
nixnet.social,akkoma,3.10.2-0-gba1ed37,293,43,100,29332
detroitriotcity.com,akkoma,3.10.2-0-gba1ed37,224,98,170,40839
freespeech.group,akkoma,3.10.4-0-gebfb617,203,5,79,35346
pleroma.envs.net,akkoma,3.10.4-0-g0af8e93,203,44,84,13471
akko.disqordia.space,akkoma,3.9.3,146,44,102,153826
mycrowd.ca,akkoma,3.10.4-1-gebfb617b,142,33,4100,82961
froth.zone,akkoma,3.10.2-2212-g0d59cb6c-froth-akkoma,112,7,20,99178
akko.wtf,akkoma,3.10.3-203-gd1af78ab-develop,108,64,97,92565
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,93,17,33,51163
decept.org,akkoma,3.9.3-0-g9d7c877,92,24,31,13152
triangle.social,akkoma,3.8.0,82,2,42,12774
headpat.cafe,akkoma,3.10.4-0-g0af8e93,80,40,61,694
bdx.town,akkoma,3.9.3-0-g80519fe,76,42,86,14112
infosec.place,akkoma,3.9.3,73,14,44,2162
donotsta.re,akkoma,3.10.4-0-gebfb617,72,30,42,9586
ihatebeinga.live,akkoma,3.10.3-194-g063e3c0d-develop,70,14,22,289141
bunbers.org,akkoma,3.9.3-28-g9d7c877d-akkoma,70,16,34,697
moth.zone,akkoma,3.10.2-0-gba1ed37,64,29,43,32485
neue.city,akkoma,3.7.1,60,null,null,23434
social.kernel.org,akkoma,3.10.3,59,32,44,6139
shota.house,akkoma,3.10.3,52,24,38,109610
awoo.fai.st,akkoma,3.9.3-0-g9d7c877,49,17,25,14279
0w0.is,akkoma,3.10.4-1-gebfb617b,46,44,57,142637
kowelenz.social,akkoma,3.9.3-0-g9d7c877,45,10,287,8048
foxy.social,akkoma,3.9.3-0-g30b9e626f-main,41,9,40,174
akko.unix.dog,akkoma,3.10.4,40,11,31,10595
social.translunar.academy,akkoma,3.9.3-0-g9d7c877,38,36,39,53432
gosuslugi.social,akkoma,3.8.0,36,6,21,195
ak.kawen.space,akkoma,3.10.3-0-g98f0820-develop,36,23,30,48063
pl.nulled.red,akkoma,3.9.3-0-g9d7c877,36,9,251,12360
suya.place,akkoma,3.10.4-4-g74f94627-suyaplace,35,25,34,20844
nya.house,akkoma,3.9.3-29-gc1306989-nya,31,2,8,842
brain.worm.pink,akkoma,3.10.4-3-g8660dcae,31,18,23,7349
monk.ey.business,akkoma,3.10.4-1-gebfb617b,31,27,28,2391
iscute.moe,akkoma,3.9.3,30,6,10,140809
pl.m0e.space,akkoma,3.9.3-28-g9d7c877d,30,8,129,3349
otp.akkoma.dev,akkoma,3.10.4-0-g0af8e93,28,1,1457,72
breastmilk.club,akkoma,3.7.1,27,null,null,63219
aa.nikola.love,akkoma,3.10.4-1-gebfb617b,26,20,27,2376
pinksheep.org,akkoma,3.8.0-0-gccae7ef,26,4,6,455
woem.space,akkoma,3.10.4-0-gebfb617,25,18,24,45975
uchu-teien.com,akkoma,3.10.4,24,16,24,5223
waifuism.life,akkoma,3.10.4-1-gebfb617b,24,10,11,65665
pleroma.chillout.chat,akkoma,3.7.1,23,null,null,381
tailswish.industries,akkoma,3.10.4-2-gde9afa1f-tailswish,23,11,13,14447
pr.shc.kanagawa.jp,akkoma,3.10.4-6-g534841dd-heads-v3-10-4,23,3,11,2430
pl.hyperboreal.zone,akkoma,3.9.3-0-g9d7c877,22,3,13,5158
ng.cathoderay.tube,akkoma,3.10.4-0-gebfb617,22,10,16,3461
sweet.succubi.services,akkoma,3.5.0-12-g63f2d1cb,21,null,null,970
blobfox.es,akkoma,3.9.3-1489-g44514535-fox,21,6,14,1125
social.milhousfamily.com,akkoma,3.8.0,21,9,15,86
myfriendsare.gay,akkoma,3.9.3,20,6,10,7690
pleroma.viridianpatriots.com,akkoma,3.10.3-0-g98f0820-develop,20,3,9,12564
netzsphaere.xyz,akkoma,3.10.3-0-gc887dd4,19,3,4,102936
kongwoo.icu,akkoma,3.9.3-0-g9d7c877,19,7,15,5496
neet.social,akkoma,3.10.4,18,18,23,533
boymoder.biz,akkoma,3.9.3-28-g9d7c877d,18,7,18,7481
is.badat.dev,akkoma,3.10.4,18,4,9,37023
haxe.social,akkoma,3.8.0,18,1,5,27
xyzzy.link,akkoma,3.10.3-201-gc8e08e9c-develop,17,8,12,26204
midnight.delivery,akkoma,3.7.1-0-gfef4bae,16,null,null,705
cofe.rocks,akkoma,3.10.3-197-g98f0820c-sn0w+PE,16,3,3,4132
larkspur.one,akkoma,3.10.3-203-gd1af78ab-develop,16,9,11,2412
toot.hackrc.dev,akkoma,3.10.3-203-gd1af78ab-develop,16,2,3,857
fedi.friendzone.lol,akkoma,3.10.4-1-gebfb617b,16,18,19,2946
chai.kibbutz.gay,akkoma,3.10.4-0-gebfb617,15,17,17,2140
fedi.lecturify.net,akkoma,3.10.3-201-gc8e08e9c-develop,15,6,9,2872
balerno.town,akkoma,3.10.3-0-g43c5fd5,15,2,17,101
fedi.skladka.net,akkoma,3.5.0-0-gd9508474b,15,null,null,1543
magic.win,akkoma,3.7.1-0-gfef4bae,15,null,null,80
ilja.space,akkoma,3.10.4,14,5,8,9459
fedi.seriousbusiness.international,akkoma,3.9.3-0-g9d7c877,13,9,10,3534
social.owotel.com,akkoma,3.9.3,13,6,8,146
strelizia.net,akkoma,3.10.3-1545-g75e901f3-akkoma,12,6,8,107167
bv.umbrellix.org,akkoma,3.4.0-117-gde1bbc02,12,null,null,6084
fedi.astrid.tech,akkoma,3.8.0,12,7,12,37130
shrine.moe,akkoma,3.10.4,12,11,13,7435
cockandballtortu.re,akkoma,3.9.3+dev,12,3,6,255
s.awoo.dev,akkoma,3.10.3-0-g368b22f-develop,12,5,7,947
neo.seafoam.space,akkoma,3.10.4-0-gebfb617,12,9,9,316
soc.noob.quest,akkoma,3.10.4,11,6,11,1736
pl.comofas.org,akkoma,3.9.3-2-gfb8081e1-develop,11,4,8,65
mastodon.tardis.pw,akkoma,3.10.3-1-g43c5fd5d,11,4,6,3786
buff.tomboyfan.club,akkoma,3.10.4-1-gebfb617b,11,5,11,3482
nyan.network,akkoma,3.10.3-202-g1b838627-1-CI-COMMIT-TAG---,11,8,10,3533
novo-atlantis.null.media,akkoma,3.9.3,11,6,12,2438
mar.archipielago.uno,akkoma,3.10.4,11,10,10,1030
breakdown.moe,akkoma,3.9.3-0-g9d7c877,11,4,10,51
fedi.reimu.info,akkoma,3.10.3-201-gc8e08e9c-develop,11,7,9,5586
a.jerl.zone,akkoma,3.7.1-0-gfef4bae,11,null,null,125
norwoodzero.net,akkoma,3.10.2-0-gba1ed37,10,4,10,5316
fedi.criminallycute.fi,akkoma,3.10.3-197-g98f0820c-develop,10,7,11,5705
social.naln1.ca,akkoma,3.10.4-1-gebfb617b,10,5,9,15236
akko.chir.rs,akkoma,3.10.3,10,7,7,9636
pl.salushnes.solutions,akkoma,3.9.3,10,7,8,2687
fediverse.date,akkoma,3.9.3-28-g9d7c877d,10,0,9,241
pl.catboyindustries.co,akkoma,3.10.3-201-gc8e08e9c-develop,10,3,6,382
brotka.st,akkoma,3.10.3-0-g43c5fd5,9,6,9,35772
social.platypus-sandbox.com,akkoma,3.10.3,9,9,12,5655
antani.pm,akkoma,3.10.3-203-gd1af78ab-develop,9,5,8,699
blimey.social,akkoma,3.10.4-0-gebfb617,9,4,8,3543
social.qunn.eu,akkoma,3.10.4-0-gebfb617,9,4,5,1640
ak.zweitekassabitte.jetzt,akkoma,3.9.3,9,6,9,3760
snack.social,akkoma,3.3.1,9,null,null,12386
blahaj.ovh,akkoma,3.9.3-28-g9d7c877d,9,2,10,110
social.drgnz.club,akkoma,3.9.3,9,4,9,693
um.lugarzinho.top,akkoma,3.9.2,9,1,4,786
relay.blimey.social,akkoma,3.10.4-0-gebfb617,9,4,8,3540
free.gaycatgirl.sex,akkoma,3.9.3-28-g9d7c877d,8,7,7,3921
social.nauk.io,akkoma,3.10.4-0-g0af8e93,8,3,4,1119
dartboard.social,akkoma,3.9.3-0-g9d7c877,8,2,2,157
trans.enby.town,akkoma,3.10.2-158-g59af68c6-develop,8,5,8,32443
xenia.social,akkoma,3.5.0-14-gd9508474,8,null,null,262
pleroma.les-requin.net,akkoma,3.10.4,8,1,3,486
amble.quest,akkoma,3.10.4,8,5,7,1232
quite.lewd.today,akkoma,3.9.3-28-g9d7c877d,8,2,8,8
telex.disinfo.zone,akkoma,3.8.0,8,3,4,387
3v.is,akkoma,3.10.2,8,6,7,338
critica.li,akkoma,3.10.4-0-gebfb617,8,2,6,118
fedi.akselmo.dev,akkoma,3.10.2,8,6,9,2166
oopsall.gay,akkoma,3.10.4,8,4,6,918
fedi.kemonomimi.gay,akkoma,3.10.4,8,7,10,1624
p.girlc.at,akkoma,3.10.4-1-gebfb617b,8,7,8,2956
zy.gy,akkoma,3.7.1-yf,7,null,null,3347
fedi.worf.win,akkoma,3.9.3-28-g9d7c877d,7,2,7,211
introvert.social,akkoma,3.10.2-0-gba1ed37,7,2,4,785
wiir.libtar.de,akkoma,3.10.4,7,3,4,2552
gamerfort.social,akkoma,3.9.3-0-g9d7c877,7,2,4,298
satania.social,akkoma,3.10.4,7,6,9,285
rail.siberia.work,akkoma,3.5.0-0-g20a652841-hostdon-akkoma-latest,7,null,null,2677
otlab.dev,akkoma,3.9.3,7,4,7,355
social.isopod.cool,akkoma,3.9.3-0-g9d7c877,7,0,3,1250
neuro.cooking,akkoma,3.5.0-0-g63f2d1cbe,7,null,null,385
raccoon.cafe,akkoma,3.10.4-0-gebfb617,7,3,5,793
hasthebig.gay,akkoma,3.9.3-28-g9d7c877d,7,4,5,72
mastodon.nove.team,akkoma,3.10.4-1-gebfb617b,7,5,9,168
ack.nerdfight.online,akkoma,3.9.3-0-g9d7c877,7,5,5,4564
fed.tardisproject.uk,akkoma,3.10.4-1-gebfb617b,7,2,4,27
fedi.tilde.green,akkoma,3.10.3,7,2,2,69
