domain,application,version,users,AMU,AHYU,posts
prattohome.com,mastodon,4.2.1,1,1,1,2767
misskey.zerozaski.tech,misskey,12.110.1,4,2,3,33083
sakurajima.moe,mastodon,4.3.0-alpha.0+glitch,643,253,777,57763
tty0.social,mastodon,4.1.3,109,39,68,8708
m5y.usuyuki.net,misskey,2023.10.0-usuyukey-1.1.0,1,null,null,4578
martinh.net,mastodon,4.2.1,1,1,1,2851
social.edist.ro,mastodon,4.3.0-alpha.0+glitch,26,23,26,22548
mastodonti.st,mastodon,4.2.0,5,4,5,6766
mastodon.jackalopes.xyz,mastodon,4.1.4+glitch,6,3,6,166
moosetodon.com,mastodon,4.2.1,2,1,1,561
fed.chris-shaw.dev,mastodon,4.2.1,1,1,1,41
killyour.dad,pleroma,2.5.54-594-gb094e92c.develop+soapbox,3,2,3,10
mk.asie.pl,misskey,13.14.2,2,null,null,1236
derg.social,firefish,1.0.3,80,51,78,9733
austintexas.social,mastodon,4.2.1,28,5,9,20791
misskey.osyakasyama.me,misskey,2023.10.1,3,null,null,4016
0w0.is,akkoma,3.10.4-1-gebfb617b,46,44,57,142637
social.ds106.us,mastodon,4.2.0,55,32,45,14013
mi.nu1.dev,misskey,2023.9.3,5,null,null,1264
mastodon.nl,mastodon,4.2.0,40132,7251,16999,1403089
ussr.rumiserver.com,misskey,2023.9.3,16,null,null,1587
mk.tenpest-moon.uk,misskey,12.119.2,4,2,3,13513
queerspirituality.social,mastodon,4.2.0,7,6,7,2703
mascodon.jp,mastodon,4.2.1+mscdn,32,24,41,9140
berserker.town,mastodon,4.1.3+glitch,112,52,91,62909
walking.masto.host,mastodon,4.2.1,2,1,1,520
researchbuzz.masto.host,mastodon,4.2.1,48,9,18,6646
hello.2heng.xin,mastodon,3.5.3,2405,154,308,219673
reax.work,misskey,2023.10.1,21,null,null,3213
misskey.magokorobin.com,misskey,12.70.0,null,null,null,null
uchu-teien.com,akkoma,3.10.4,24,16,24,5223
retro.pizza,mastodon,4.2.1,948,368,666,201643
yamashita.social,firefish,1.0.1,6,1,4,2254
ohai.social,mastodon,4.2.1,38769,3901,10798,1024420
nonbiridon.hostdon.ne.jp,mastodon,4.2.1,1,1,1,22264
dmv.community,mastodon,4.2.1,503,164,308,56916
misskey.kanarikanaru.com,misskey,2023.9.3-bsk-2.1,79,null,null,781
esper.lol,mastodon,4.2.1,9,4,10,453
toot.iani.art,mastodon,4.2.1,3,2,2,6754
cloudisland.nz,mastodon,4.2.1,180,139,155,222268
cryptodon.chat,mastodon,4.1.3,44,9,29,13498
tbs.social,mastodon,4.1.5,16,9,18,6020
mastodon.laurenweinstein.org,mastodon,4.1.3,1,1,1,12931
n7.social,misskey,2023.10.0,71,null,null,3103
kawane.misskey.online,misskey,13.14.2,12,null,null,1858
ynotnetwork.com,mastodon,4.1.6,128,7,46,475
hilo0.hostdon.ne.jp,mastodon,4.2.1,2,2,2,124
misskey.marib.one,misskey,13.13.2,12,null,null,112
pagan.plus,hometown,4.0.10+hometown-1.1.1,465,141,272,68507
yamagadon.com,mastodon,4.2.1,3,1,1,928
wpbuilds.social,mastodon,4.2.1,126,25,45,4436
sk.204.jp,misskey,2023.9.3,779,null,null,13304
mstdn.in.th,mastodon,4.2.1,1351,380,1422,66292
climatejustice.social,mastodon,4.2.1-stable+ff1,9653,1195,2897,369020
fairdinkum.one,mastodon,4.2.0,9,6,10,1395
ecoevo.social,mastodon,4.2.1,5147,1545,2880,197103
poweredbygay.social,mastodon,4.2.1,1317,90,292,14780
alltomorrows.party,mastodon,4.2.1,12,12,14,2457
social.tchncs.de,mastodon,4.2.1,21249,3173,4817,2450769
social.jacklinke.com,mastodon,4.2.1,1,1,1,275
ward2.bouvardia.icu,misskey,13.11.3,8,null,null,15693
mctetsudou.net,mastodon,4.2.1,24,5,7,1069
iqhina.org,misskey,2023.10.1,97,null,null,60698
mstdn.sagami-yashiro.net,mastodon,4.2.1,2,1,2,592
diaspodon.fr,mastodon,4.2.1,253,72,102,153416
tmss2291-1.hostdon.ne.jp,mastodon,4.2.1,1,1,1,84
mastodon.ktachibana.party,mastodon,4.2.1,138,34,36,43887
socel.net,mastodon,4.2.1,8392,802,1978,304605
nap.social,mastodon,4.3.0-nap-ver,10,12,12,339
geeknews.chat,mastodon,4.2.1,47,7,10,12254
mi.caind.live,misskey,2023.9.1,15,null,null,886
miss.kabeuchi.monster,misskey,2023.10.0,5,null,null,608
mstdn.hokkaido.jp,mastodon,4.1.0,102,30,63,46584
aethy.com,mastodon,4.2.0,13426,6069,12646,620539
mstdn.kemono-friends.info,mastodon,4.1.9,2082,195,307,9063362
handon.club,mastodon,4.1.9,329,161,176,3765048
ff.mizunashi.work,firefish,1.0.4-beta31,3,1,1,421
trismegiste.life,misskey,13.14.2,4,null,null,1013
firefish.katniss.top,firefish,1.0.4-beta,3,1,1,0
social.kazehiko.com,mastodon,4.2.1,1,1,1,1493
this.mouse.rocks,mastodon,4.2.1,51,18,26,235546
burnthis.town,mastodon,4.1.4,75,36,71,11320
gravure.club,pleroma,2.5.54-321-g17c336de-develop,3,2,2,3170
tablegame.mstdn.cloud,mastodon,4.2.0,1333,113,186,1065912
worldc.one,firefish,1.0.3,9,7,7,10363
neet.social,akkoma,3.10.4,18,18,23,533
nicomedkey.cc,misskey,2023.9.3-nmk1.1.2,172,null,null,57095
magimeche.zarchbox.fr,firefish,1.0.3,3,1,1,1616
mastodon-swiss.org,mastodon,4.2.1,769,139,452,1732
kanina.be,mastodon,4.1.7,13,1,7,6178
progressivecafe.social,mastodon,4.2.1,29,29,29,86687
kind.social,mastodon,4.2.1,3373,1865,3302,220356
social.pornstarpromote.com,firefish,1.0.3,5,3,3,55
munesky.net,misskey,13.14.2,13,null,null,2486
paseo.casacamelia.xyz,misskey,2023.9.3,2,null,null,6772
jauntygoat.net,mastodon,4.0.10,31,9,21,8469
frennet.xyz,misskey,2023.10.1,13,null,null,7915
telegrafverket.cc,mastodon,4.2.0,15,11,15,695
eicker.news,mastodon,4.2.1,12,12,12,4869
denton.social,mastodon,4.1.4,58,21,43,6780
pl.hyperboreal.zone,akkoma,3.9.3-0-g9d7c877,22,3,13,5158
kapuverse.net,mastodon,4.2.1,3,2,2,208
chin-co-ne.co,mastodon,4.2.1,1,1,1,99707
xoxo.zone,mastodon,4.2.0,662,286,345,161310
headpat.cafe,akkoma,3.10.4-0-g0af8e93,80,40,61,694
im.alstadheim.no,mastodon,4.2.1,3,1,2,1443
m.smdr.io,misskey,13.4.0,7,null,null,143
mstdn.party,mastodon,4.1.9,50123,4578,14311,1298726
social.circl.lu,mastodon,4.1.9,42,10,22,4015
misskey.gamelore.fun,misskey,2023.10.2-beta.2,3155,null,null,3918555
mapstodon.space,mastodon,4.2.1,1963,513,897,53865
dev.fedicity.net,mastodon,4.2.0,1,1,1,25
labyrinth.social,hometown,4.0.10+hometown-1.1.1,16,12,14,23775
worldkey.io,mastodon,4.2.1,765,218,417,112757
mdn.hinaloe.net,mastodon,3.5.14-86db5d350,34,1,1,18342
digipres.club,hometown,4.0.10+hometown-1.1.1,674,278,392,83520
nightly.fedibird.com,fedibird,0.1,351,192,307,178609
piaille.fr,mastodon,4.2.0,27915,9231,17032,1454902
wien.rocks,mastodon,4.2.1-stable+ff1,4269,968,1943,186513
social.proximitysculptor.com,mastodon,4.2.0-rc2+glitch,2,1,1,607
toot.wales,mastodon,4.2.1,13271,1268,2887,544425
lightcrystal.fedicity.net,mastodon,4.2.1,22,21,22,4377
eightpoint.app,mastodon,4.1.3+glitch,772,167,368,215626
writing.exchange,mastodon,4.2.1,3597,560,1087,435055
niscii.xyz,misskey,2023.10.1,14,null,null,54593
ottawa.place,hometown,4.0.10+hometown-1.1.1,205,71,131,41982
thepit.social,mastodon,4.2.1,210,90,137,32646
misskey.pm,firefish,1.0.4-beta,176,33,153,23010
masto.galooph.com,mastodon,4.2.1,1,1,1,695
m.cmx.im,mastodon,4.2.1,42090,10496,17335,4705416
gleasonator.com,pleroma,2.5.54-2828-g87fb13b5.gleasonator+soapbox,766,81,219,206664
tro9.life,firefish,1.0.4-beta,3,1,1,94
nondeterministic.computer,mastodon,4.2.0,3,3,3,2438
mi.hoshisaki-h.com,misskey,2023.9.3-hoshi.41.2.A.0.849,27,null,null,4739
curling.social,mastodon,4.1.9,60,18,27,3647
mstdn.asterism.xyz,mastodon,4.2.1-plusminus.2,2,2,2,240224
mstdn.glorificatio.org,mastodon,4.1.6,246,10,25,23773
goettingen.social,mastodon,4.2.1,7,5,5,259
cr8r.gg,mastodon,4.2.0-beta1+glitch,3482,286,1412,38406
social.pseudo-whiskey.bar,misskey,13.14.2,4,null,null,143323
piggo.space,pleroma,2.5.1,21,4,6,75932
mistodon.cloud,mastodon,4.2.1,110,58,78,287493
amefur.asia,mastodon,4.2.1,1,1,1,191829
mstdn.pulala.net,mastodon,4.2.1,3,3,3,496
bolha.one,mastodon,4.2.1,34,28,39,9447
eupolicy.social,mastodon,4.2.1,1321,356,626,100094
zy.gy,akkoma,3.7.1-yf,7,null,null,3347
45sukey.net,misskey,2023.9.3,813,null,null,673350
misskey.dev,misskey,11.37.1-20230930181843,null,null,null,null
social.slat.org,mastodon,4.1.4,1189,74,159,22231
brandenburg.social,mastodon,4.2.1,149,54,86,9638
reima.rocks,mastodon,4.2.1,1,1,1,1686
cktn.todon.de,mastodon,4.2.1,4,1,4,7177
freie-re.de,mastodon,4.2.1,15,13,16,1312
yiff.life,mastodon,4.2.0+glitch,3670,766,1243,995952
kertwang.me,mastodon,4.2.1,1,1,1,8
radfae.social,mastodon,4.2.1,17,5,9,462
nerdcore.social,akkoma,3.10.3,5,1,1,9
mastodon.fjerland.no,mastodon,4.2.0,1,1,1,261
calc.panta.systems,firefish,1.0.3,3,2,2,8568
p1.ains-no-misskey.com,misskey,2023.10.1,3,null,null,983
social.mckendrick.io,mastodon,4.2.1,1,1,1,93
nya.social,misskey,2023.9.2,59,null,null,159425
ne.bal.ovh,misskey,12.122.0,18,13,17,601
infosec.place,akkoma,3.9.3,73,14,44,2162
social.penguinability.net,mastodon,4.1.10,16,12,15,228560
pleroma.neuromante.net,akkoma,3.10.4-1-gebfb617b,5,1,1,6602
strelizia.net,akkoma,3.10.3-1545-g75e901f3-akkoma,12,6,8,107167
social.camph.net,misskey,13.14.2,64,null,null,3428
takoverse.syutin.com,mastodon,4.2.1,4,3,4,1984
indg.club,mastodon,4.1.1,126,21,46,4851
pl.tkammer.de,pleroma,2.5.0,2,1,1,6716
social.balpha.de,mastodon,4.2.1,1,1,1,729
sebitech.social,mastodon,3.5.1,11,4,4,14
schaumburg.social,mastodon,4.2.1,28,25,27,45437
ettanity.uk,mastodon,4.2.1,2,2,2,33
pocketpixels.club,mastodon,4.2.1,36,16,25,1350
mastodon.astifter.com,mastodon,4.1.9,1,1,1,139
gn-tronics.dev,mastodon,4.2.0,2,2,2,421
literatur.social,mastodon,4.2.1,828,375,518,268267
masto.futbol,mastodon,4.2.1,3,3,3,444
