domain,application,version,users,MAU,HYAC,posts
blob.cat,akkoma,3.9.3-0-gd83f5f66f-blob,1803,173,383,570772
pleroma.noellabo.jp,akkoma,3.10.4-607-g88021a96-noeroma,1571,46,89,25773
fedi.absturztau.be,akkoma,3.10.3-212-g6cc523bd-develop,1364,119,277,841130
fe.disroot.org,akkoma,3.10.4-0-gebfb617,1326,298,755,22651
genserver.social,akkoma,3.10.3-0-gc887dd4,973,179,394,5314
cdrom.tokyo,akkoma,3.9.3-28-g9d7c877d,833,100,290,118578
outerheaven.club,akkoma,3.10.3-0-g43c5fd5,786,107,227,430791
miraiverse.xyz,akkoma,3.10.4-0-gebfb617,732,210,644,42591
akkoma.mercurywork.shop,akkoma,3.10.4-0-gebfb617,333,35,107,1674
pl.nudie.social,akkoma,3.10.3-194-g43c5fd5d,306,43,87,5914
nixnet.social,akkoma,3.10.2-0-gba1ed37,304,46,103,29611
detroitriotcity.com,akkoma,3.10.2-0-gba1ed37,224,58,165,48320
pleroma.envs.net,akkoma,3.10.4-0-g0af8e93,214,49,95,17104
freespeech.group,akkoma,3.10.4-0-gebfb617,203,6,8,35682
akko.disqordia.space,akkoma,3.9.3,149,44,99,159893
mycrowd.ca,akkoma,3.10.4-1-gebfb617b,144,23,84,84626
froth.zone,akkoma,3.10.2-2212-g0d59cb6c-froth-akkoma,112,7,17,101636
akko.wtf,akkoma,3.10.3-212-g6cc523bd-develop,110,66,99,106095
seafoam.space,akkoma,3.10.4-0-gebfb617,105,31,72,26761
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,95,12,31,52846
headpat.cafe,akkoma,3.10.4-0-g0af8e93,94,39,59,734
decept.org,akkoma,3.9.3-0-g9d7c877,93,20,31,13293
triangle.social,akkoma,3.8.0,82,2,42,12813
bdx.town,akkoma,3.9.3-0-g80519fe,80,43,91,15136
donotsta.re,akkoma,3.10.4-0-gebfb617,75,29,41,9989
infosec.place,akkoma,3.9.3,74,13,42,2455
ihatebeinga.live,akkoma,3.10.3-194-g063e3c0d-develop,70,13,22,289382
bunbers.org,akkoma,3.9.3-28-g9d7c877d-akkoma,70,10,35,910
social.kernel.org,akkoma,3.10.3,62,39,46,7201
monk.ey.business,akkoma,3.10.4-1-gebfb617b,62,51,54,9609
neue.city,akkoma,3.7.1,60,null,null,23554
shota.house,akkoma,3.10.3,52,20,34,115412
0w0.is,akkoma,3.10.4-1-gebfb617b,50,47,60,167281
awoo.fai.st,akkoma,3.10.4-0-gebfb617,47,18,25,14764
