domain,application,version,users,MAU,HYAU,posts
relay-new.activitypub.ca,activityrelay,0.0.1,1,null,null,0
blob.cat,akkoma,3.10.4-0-gf5134be53-blob,1839,146,296,587546
pleroma.noellabo.jp,akkoma,3.10.4-607-g88021a96-noeroma,1580,47,87,26161
fe.disroot.org,akkoma,3.10.4-0-gebfb617,1572,330,785,27553
fedi.absturztau.be,akkoma,3.10.3-212-g6cc523bd-develop,1373,102,222,854698
genserver.social,akkoma,3.10.3-0-gc887dd4,987,119,333,5943
cdrom.tokyo,akkoma,3.9.3-28-g9d7c877d,952,120,309,120635
outerheaven.club,akkoma,3.10.3-0-g43c5fd5,788,97,167,461638
miraiverse.xyz,akkoma,3.10.4-0-gebfb617,736,139,333,47614
akkoma.mercurywork.shop,akkoma,3.10.4-0-gebfb617,393,31,133,2436
nixnet.social,akkoma,3.10.2-0-gba1ed37,330,59,121,30227
pl.nudie.social,akkoma,3.10.3-194-g43c5fd5d,321,42,82,1844
pleroma.envs.net,akkoma,3.10.4-0-g0af8e93,235,50,97,23236
detroitriotcity.com,akkoma,3.10.4-0-gebfb617,225,52,145,71156
freespeech.group,akkoma,3.10.4-0-gebfb617,202,5,7,36085
seafoam.space,akkoma,3.10.4-0-gebfb617,164,51,83,35417
mycrowd.ca,akkoma,3.10.4-1-gebfb617b,150,23,49,77158
akko.disqordia.space,akkoma,3.9.3,146,36,74,180603
headpat.cafe,akkoma,3.10.4-0-g0af8e93,129,20,52,902
akko.wtf,akkoma,3.10.3-261-g52be6665-akko-wtf,114,65,88,133005
froth.zone,akkoma,3.10.2-2212-g0d59cb6c-froth-akkoma,113,6,11,109890
oddballs.online,akkoma,3.10.4-0-gebfb617,108,90,124,8715
ak.vern.cc,akkoma,3.9.3,102,9,18,5126
landofkittens.social,akkoma,3.10.3-200-g5c164028-develop,97,11,22,58692
decept.org,akkoma,3.9.3-0-g9d7c877,93,19,30,13758
bdx.town,akkoma,3.9.3-0-g80519fe,87,38,82,20339
donotsta.re,akkoma,3.10.4-0-gebfb617,80,30,46,12432
monk.ey.business,akkoma,3.10.4-1-gebfb617b,75,43,80,22477
bunbers.org,akkoma,3.9.3-28-g9d7c877d-akkoma,71,8,23,849
social.kernel.org,akkoma,3.10.3,70,47,53,10528
ihatebeinga.live,akkoma,3.10.3-250-g6be84235-develop,69,14,21,289997
moth.zone,akkoma,3.10.2-0-gba1ed37,67,32,46,41703
crimew.gay,akkoma,3.10.3-200-g5c164028-develop,58,36,49,75310
shota.house,akkoma,3.10.3,54,18,28,145954
brain.worm.pink,akkoma,3.10.4-3-g8660dcae,53,24,41,16848
0w0.is,akkoma,3.10.4-1-gebfb617b,51,41,53,225514
social.translunar.academy,akkoma,3.9.3-0-g9d7c877,51,41,55,96405
akko.unix.dog,akkoma,3.10.4,49,17,30,11640
awoo.fai.st,akkoma,3.10.4-0-gebfb617,48,14,20,16555
labyrinth.zone,akkoma,3.10.4-1-gebfb617b,45,41,43,17764
kowelenz.social,akkoma,3.9.3-0-g9d7c877,45,9,13,8950
foxy.social,akkoma,3.9.3-0-g30b9e626f-main,42,7,19,221
ak.kawen.space,akkoma,3.10.3-0-g98f0820-develop,39,21,27,56599
woem.space,akkoma,3.10.4-0-gebfb617,39,29,37,79082
pl.m0e.space,akkoma,3.10.4-1-gebfb617b,37,12,18,4869
gosuslugi.social,akkoma,3.8.0,36,6,10,202
suya.place,akkoma,3.10.4-4-g74f94627-suyaplace,35,25,33,25948
nya.house,akkoma,3.10.4-2-g47aab34e-nya,33,3,4,851
otp.akkoma.dev,akkoma,3.10.4-0-g0af8e93,32,1,4,169
iscute.moe,akkoma,3.10.4,31,9,10,140856
lit.tlespace.xyz,akkoma,3.10.4-1-gebfb617b,29,26,30,7252
breastmilk.club,akkoma,3.7.1-205-g82c1b7d4-akroma,28,14,20,84914
norwoodzero.net,akkoma,3.10.2-0-gba1ed37,27,19,22,18688
pinksheep.org,akkoma,3.10.4-0-gebfb617,27,4,8,480
uchu-teien.com,akkoma,3.10.4,27,15,23,8558
chai.kibbutz.gay,akkoma,3.10.4-0-gebfb617,26,20,34,7198
pr.shc.kanagawa.jp,akkoma,3.10.4-6-g534841dd-heads-v3-10-4,26,3,6,2439
void.lgbt,akkoma,3.10.3-0-g43c5fd5,26,23,26,15695
aa.nikola.love,akkoma,3.10.4-1-gebfb617b,25,9,28,2229
pleroma.chillout.chat,akkoma,3.7.1,23,null,null,385
tailswish.industries,akkoma,3.10.4-2-gde9afa1f-tailswish,23,11,13,14071
